Source, Target,Type,Weight
dili, marsu,Directed,1
marsu, governu,Directed,1
governu, liuhosi,Directed,1
liuhosi, sekretáriu,Directed,1
sekretáriu, estadu,Directed,1
estadu, ba,Directed,1
ba, komunikasaun,Directed,1
komunikasaun, sosiál,Directed,1
sosiál, sekoms,Directed,1
sekoms, merício,Directed,1
merício, juvinal,Directed,1
juvinal, dos,Directed,1
dos, reis,Directed,1
reis, akara,Directed,1
akara, husu,Directed,1
husu, ba,Directed,1
ba, komunidade,Directed,1
komunidade, sira,Directed,1
sira, atu,Directed,1
atu, labele,Directed,1
labele, tuda,Directed,1
tuda, hasoru,Directed,1
hasoru, ambulánsia,Directed,1
ambulánsia, parte,Directed,1
parte, saúde,Directed,1
saúde, nian,Directed,1
nian, ne’ebé,Directed,1
ne’ebé, movimenta,Directed,1
movimenta, hodi,Directed,1
hodi, ba,Directed,1
ba, foti,Directed,1
foti, amostra,Directed,1
amostra, ka,Directed,1
ka, tula,Directed,1
tula, pasiente,Directed,1
pasiente, covid,Directed,1
covid, ruma,Directed,1
ruma, sekretáriu,Directed,1
sekretáriu, estadu,Directed,1
estadu, merício,Directed,1
merício, akara,Directed,1
akara, hato’o,Directed,1
hato’o, deklarasaun,Directed,1
deklarasaun, ida,Directed,1
ida, ne’e,Directed,1
ne’e, liuhosi,Directed,1
liuhosi, komunikadu,Directed,1
komunikadu, imprensa,Directed,1
imprensa, ne’ebé,Directed,1
ne’ebé, timor,Directed,1
timor, news,Directed,1
news, asesu,Directed,1
asesu, ohin,Directed,1
ohin, relasiona,Directed,1
relasiona, ho,Directed,1
ho, kazu,Directed,1
kazu, ema,Directed,1
ema, deskoñesidu,Directed,1
deskoñesidu, balu,Directed,1
balu, tuda,Directed,1
tuda, ambulánsia,Directed,1
ambulánsia, wainhira,Directed,1
wainhira, ekipa,Directed,1
ekipa, saúde,Directed,1
saúde, atu,Directed,1
atu, ba,Directed,1
ba, foti,Directed,1
foti, amostra,Directed,1
amostra, teste,Directed,1
teste, swab,Directed,1
swab, covid,Directed,1
covid, ne’ebé,Directed,1
ne’ebé, akontese,Directed,1
akontese, iha,Directed,1
