Source, Target, Type, Weight
103, 2805, Directed, 1.0
2805, 221, Directed, 1.0
221, 335, Directed, 1.0
335, 569, Directed, 1.0
569, 583, Directed, 1.0
583, 62, Directed, 1.0
62, 878, Directed, 1.0
878, 899, Directed, 1.0
899, 908, Directed, 1.0
908, 958, Directed, 1.0
958, 4817, Directed, 1.0
4817, 22, Directed, 1.0
22, 38, Directed, 1.0
38, 961, Directed, 1.0
961, 742, Directed, 1.0
742, 62, Directed, 1.0
62, 630, Directed, 1.0
630, 61, Directed, 1.0
61, 48, Directed, 1.0
48, 637, Directed, 1.0
637, 5688, Directed, 1.0
5688, 573, Directed, 1.0
573, 2478, Directed, 1.0
2478, 269, Directed, 1.0
269, 24, Directed, 1.0
24, 227, Directed, 1.0
227, 77, Directed, 1.0
77, 2359, Directed, 1.0
2359, 166, Directed, 1.0
166, 62, Directed, 1.0
62, 156, Directed, 1.0
156, 6484, Directed, 1.0
6484, 99, Directed, 1.0
99, 206, Directed, 1.0
206, 1573, Directed, 1.0
1573, 5289, Directed, 1.0
5289, 356, Directed, 1.0
356, 569, Directed, 1.0
569, 583, Directed, 1.0
583, 958, Directed, 1.0
958, 961, Directed, 1.0
961, 514, Directed, 1.0
514, 193, Directed, 1.0
193, 114, Directed, 1.0
114, 91, Directed, 1.0
91, 335, Directed, 1.0
335, 238, Directed, 1.0
238, 942, Directed, 1.0
942, 77, Directed, 1.0
77, 268, Directed, 1.0
268, 277, Directed, 1.0
277, 853, Directed, 1.0
853, 100, Directed, 1.0
100, 635, Directed, 1.0
635, 106, Directed, 1.0
106, 620, Directed, 1.0
620, 154, Directed, 1.0
154, 5120, Directed, 1.0
5120, 1073, Directed, 1.0
1073, 5688, Directed, 1.0
5688, 2478, Directed, 1.0
2478, 217, Directed, 1.0
217, 551, Directed, 1.0
551, 24, Directed, 1.0
24, 48, Directed, 1.0
48, 62, Directed, 1.0
62, 156, Directed, 1.0
156, 6484, Directed, 1.0
6484, 2615, Directed, 1.0
2615, 3873, Directed, 1.0
3873, 5289, Directed, 1.0
5289, 77, Directed, 1.0
77, 548, Directed, 1.0
548, 60, Directed, 1.0
60, 2805, Directed, 1.0
2805, 269, Directed, 1.0
269, 365, Directed, 1.0
365, 60, Directed, 1.0
60, 186, Directed, 1.0
186, 1695, Directed, 1.0
1695, 389, Directed, 1.0
389, 4603, Directed, 1.0
4603, 52, Directed, 1.0
52, 103, Directed, 1.0
103, 551, Directed, 1.0
551, 24, Directed, 1.0
24, 61, Directed, 1.0
61, 464, Directed, 1.0
464, 106, Directed, 1.0
106, 1887, Directed, 1.0
1887, 48, Directed, 1.0
