Source, Target, Type, Weight
2813, 209, Directed, 1.0
209, 307, Directed, 1.0
307, 572, Directed, 1.0
572, 593, Directed, 1.0
593, 19, Directed, 1.0
19, 888, Directed, 1.0
888, 875, Directed, 1.0
875, 907, Directed, 1.0
907, 939, Directed, 1.0
939, 4817, Directed, 1.0
4817, 38, Directed, 1.0
38, 44, Directed, 1.0
44, 933, Directed, 1.0
933, 750, Directed, 1.0
750, 19, Directed, 1.0
19, 625, Directed, 1.0
625, 37, Directed, 1.0
37, 24, Directed, 1.0
24, 638, Directed, 1.0
638, 5687, Directed, 1.0
5687, 594, Directed, 1.0
594, 2478, Directed, 1.0
2478, 277, Directed, 1.0
277, 29, Directed, 1.0
29, 268, Directed, 1.0
268, 121, Directed, 1.0
121, 2361, Directed, 1.0
2361, 139, Directed, 1.0
139, 19, Directed, 1.0
19, 155, Directed, 1.0
155, 6484, Directed, 1.0
6484, 18, Directed, 1.0
18, 274, Directed, 1.0
274, 1572, Directed, 1.0
1572, 5288, Directed, 1.0
5288, 311, Directed, 1.0
311, 572, Directed, 1.0
572, 593, Directed, 1.0
593, 939, Directed, 1.0
939, 933, Directed, 1.0
933, 533, Directed, 1.0
533, 146, Directed, 1.0
146, 51, Directed, 1.0
51, 88, Directed, 1.0
88, 307, Directed, 1.0
307, 285, Directed, 1.0
285, 948, Directed, 1.0
948, 121, Directed, 1.0
121, 240, Directed, 1.0
240, 221, Directed, 1.0
221, 842, Directed, 1.0
842, 23, Directed, 1.0
23, 609, Directed, 1.0
609, 115, Directed, 1.0
115, 624, Directed, 1.0
624, 188, Directed, 1.0
188, 5120, Directed, 1.0
5120, 1080, Directed, 1.0
1080, 5687, Directed, 1.0
5687, 2478, Directed, 1.0
2478, 265, Directed, 1.0
265, 573, Directed, 1.0
573, 29, Directed, 1.0
29, 24, Directed, 1.0
24, 19, Directed, 1.0
19, 155, Directed, 1.0
155, 6484, Directed, 1.0
6484, 2609, Directed, 1.0
2609, 3877, Directed, 1.0
3877, 5288, Directed, 1.0
5288, 121, Directed, 1.0
121, 581, Directed, 1.0
581, 97, Directed, 1.0
97, 2813, Directed, 1.0
2813, 277, Directed, 1.0
277, 368, Directed, 1.0
368, 97, Directed, 1.0
97, 149, Directed, 1.0
149, 1697, Directed, 1.0
1697, 389, Directed, 1.0
389, 4593, Directed, 1.0
4593, 42, Directed, 1.0
42, 105, Directed, 1.0
105, 573, Directed, 1.0
573, 29, Directed, 1.0
29, 37, Directed, 1.0
37, 475, Directed, 1.0
475, 115, Directed, 1.0
115, 1891, Directed, 1.0
1891, 24, Directed, 1.0
24, 107, Directed, 1.0
107, 72, Directed, 1.0
72, 114, Directed, 1.0
114, 82, Directed, 1.0
82, 2822, Directed, 1.0
2822, 83, Directed, 1.0
83, 443, Directed, 1.0
443, 25, Directed, 1.0
25, 605, Directed, 1.0
605, 37, Directed, 1.0
37, 31, Directed, 1.0
31, 933, Directed, 1.0
933, 97, Directed, 1.0
97, 285, Directed, 1.0
285, 6483, Directed, 1.0
6483, 88, Directed, 1.0
88, 78, Directed, 1.0
78, 88, Directed, 1.0
88, 93, Directed, 1.0
93, 750, Directed, 1.0
750, 24, Directed, 1.0
24, 625, Directed, 1.0
625, 37, Directed, 1.0
37, 1767, Directed, 1.0
1767, 491, Directed, 1.0
491, 115, Directed, 1.0
115, 573, Directed, 1.0
573, 29, Directed, 1.0
29, 139, Directed, 1.0
139, 87, Directed, 1.0
87, 716, Directed, 1.0
716, 37, Directed, 1.0
37, 24, Directed, 1.0
24, 319, Directed, 1.0
319, 114, Directed, 1.0
114, 1605, Directed, 1.0
1605, 5288, Directed, 1.0
5288, 97, Directed, 1.0
97, 60, Directed, 1.0
60, 46, Directed, 1.0
46, 4034, Directed, 1.0
4034, 2813, Directed, 1.0
2813, 217, Directed, 1.0
217, 97, Directed, 1.0
97, 225, Directed, 1.0
225, 2803, Directed, 1.0
2803, 88, Directed, 1.0
88, 60, Directed, 1.0
60, 2411, Directed, 1.0
2411, 27, Directed, 1.0
27, 97, Directed, 1.0
97, 6481, Directed, 1.0
6481, 20, Directed, 1.0
20, 2902, Directed, 1.0
2902, 1285, Directed, 1.0
1285, 18, Directed, 1.0
18, 3966, Directed, 1.0
3966, 1028, Directed, 1.0
1028, 1324, Directed, 1.0
1324, 5288, Directed, 1.0
5288, 115, Directed, 1.0
115, 1633, Directed, 1.0
1633, 121, Directed, 1.0
121, 639, Directed, 1.0
639, 25, Directed, 1.0
25, 247, Directed, 1.0
247, 6236, Directed, 1.0
6236, 2565, Directed, 1.0
2565, 78, Directed, 1.0
78, 1175, Directed, 1.0
1175, 2828, Directed, 1.0
2828, 3532, Directed, 1.0
3532, 121, Directed, 1.0
121, 17, Directed, 1.0
17, 6478, Directed, 1.0
6478, 6482, Directed, 1.0
6482, 304, Directed, 1.0
304, 1572, Directed, 1.0
1572, 41, Directed, 1.0
41, 633, Directed, 1.0
633, 1028, Directed, 1.0
1028, 115, Directed, 1.0
115, 1633, Directed, 1.0
1633, 2565, Directed, 1.0
2565, 259, Directed, 1.0
259, 1640, Directed, 1.0
1640, 23, Directed, 1.0
23, 1381, Directed, 1.0
1381, 1371, Directed, 1.0
1371, 6479, Directed, 1.0
6479, 3206, Directed, 1.0
3206, 102, Directed, 1.0
102, 7, Directed, 1.0
7, 188, Directed, 1.0
188, 259, Directed, 1.0
259, 2828, Directed, 1.0
2828, 3532, Directed, 1.0
3532, 88, Directed, 1.0
88, 581, Directed, 1.0
581, 19, Directed, 1.0
19, 188, Directed, 1.0
188, 109, Directed, 1.0
109, 419, Directed, 1.0
419, 25, Directed, 1.0
25, 262, Directed, 1.0
262, 515, Directed, 1.0
515, 349, Directed, 1.0
349, 121, Directed, 1.0
121, 41, Directed, 1.0
41, 27, Directed, 1.0
27, 1028, Directed, 1.0
1028, 115, Directed, 1.0
115, 2565, Directed, 1.0
2565, 97, Directed, 1.0
97, 4034, Directed, 1.0
4034, 60, Directed, 1.0
60, 1647, Directed, 1.0
1647, 393, Directed, 1.0
393, 60, Directed, 1.0
60, 266, Directed, 1.0
266, 121, Directed, 1.0
121, 80, Directed, 1.0
80, 3831, Directed, 1.0
3831, 19, Directed, 1.0
19, 343, Directed, 1.0
343, 1633, Directed, 1.0
1633, 2565, Directed, 1.0
2565, 541, Directed, 1.0
541, 225, Directed, 1.0
225, 78, Directed, 1.0
78, 97, Directed, 1.0
97, 1160, Directed, 1.0
1160, 51, Directed, 1.0
51, 115, Directed, 1.0
115, 1139, Directed, 1.0
1139, 547, Directed, 1.0
547, 1602, Directed, 1.0
1602, 25, Directed, 1.0
25, 6478, Directed, 1.0
6478, 6482, Directed, 1.0
6482, 304, Directed, 1.0
304, 93, Directed, 1.0
93, 41, Directed, 1.0
41, 633, Directed, 1.0
633, 1028, Directed, 1.0
1028, 115, Directed, 1.0
115, 1633, Directed, 1.0
1633, 2565, Directed, 1.0
2565, 71, Directed, 1.0
71, 29, Directed, 1.0
29, 1647, Directed, 1.0
1647, 6471, Directed, 1.0
6471, 6474, Directed, 1.0
6474, 259, Directed, 1.0
259, 832, Directed, 1.0
832, 5212, Directed, 1.0
5212, 24, Directed, 1.0
24, 911, Directed, 1.0
911, 222, Directed, 1.0
222, 624, Directed, 1.0
624, 125, Directed, 1.0
125, 88, Directed, 1.0
88, 97, Directed, 1.0
97, 959, Directed, 1.0
959, 115, Directed, 1.0
115, 1633, Directed, 1.0
1633, 2565, Directed, 1.0
2565, 18, Directed, 1.0
18, 3244, Directed, 1.0
3244, 215, Directed, 1.0
215, 3831, Directed, 1.0
3831, 88, Directed, 1.0
88, 24, Directed, 1.0
24, 1600, Directed, 1.0
1600, 139, Directed, 1.0
139, 1524, Directed, 1.0
1524, 880, Directed, 1.0
880, 897, Directed, 1.0
897, 304, Directed, 1.0
304, 2121, Directed, 1.0
2121, 60, Directed, 1.0
60, 184, Directed, 1.0
184, 97, Directed, 1.0
97, 4034, Directed, 1.0
4034, 261, Directed, 1.0
261, 1650, Directed, 1.0
1650, 1626, Directed, 1.0
1626, 6476, Directed, 1.0
6476, 6475, Directed, 1.0
6475, 6469, Directed, 1.0
6469, 6480, Directed, 1.0
6480, 114, Directed, 1.0
114, 6477, Directed, 1.0
6477, 5, Directed, 1.0
5, 155, Directed, 1.0
155, 465, Directed, 1.0
465, 121, Directed, 1.0
121, 261, Directed, 1.0
261, 115, Directed, 1.0
115, 1647, Directed, 1.0
1647, 15, Directed, 1.0
15, 3966, Directed, 1.0
3966, 5, Directed, 1.0
5, 1642, Directed, 1.0
1642, 1633, Directed, 1.0
1633, 2565, Directed, 1.0
2565, 104, Directed, 1.0
104, 73, Directed, 1.0
73, 2497, Directed, 1.0
2497, 6473, Directed, 1.0
6473, 6472, Directed, 1.0
6472, 23, Directed, 1.0
23, 2395, Directed, 1.0
2395, 5, Directed, 1.0
5, 90, Directed, 1.0
90, 24, Directed, 1.0
24, 41, Directed, 1.0
41, 1028, Directed, 1.0
1028, 1324, Directed, 1.0
1324, 5288, Directed, 1.0
5288, 115, Directed, 1.0
115, 1633, Directed, 1.0
1633, 2565, Directed, 1.0
2565, 78, Directed, 1.0
78, 472, Directed, 1.0
472, 19, Directed, 1.0
19, 624, Directed, 1.0
624, 2828, Directed, 1.0
2828, 3532, Directed, 1.0
3532, 121, Directed, 1.0
121, 1175, Directed, 1.0
1175, 97, Directed, 1.0
97, 4034, Directed, 1.0
4034, 215, Directed, 1.0
215, 591, Directed, 1.0
591, 114, Directed, 1.0
114, 6237, Directed, 1.0
6237, 6470, Directed, 1.0
6470, 24, Directed, 1.0
24, 163, Directed, 1.0
163, 284, Directed, 1.0
284, 1633, Directed, 1.0
1633, 2565, Directed, 1.0
2565, 1324, Directed, 1.0
1324, 5288, Directed, 1.0
5288, 78, Directed, 1.0
78, 832, Directed, 1.0
832, 97, Directed, 1.0
97, 173, Directed, 1.0
173, 15, Directed, 1.0
15, 624, Directed, 1.0
624, 6478, Directed, 1.0
6478, 6482, Directed, 1.0
6482, 88, Directed, 1.0
88, 1977, Directed, 1.0
1977, 25, Directed, 1.0
25, 1633, Directed, 1.0
1633, 2565, Directed, 1.0
2565, 105, Directed, 1.0
105, 2813, Directed, 1.0
2813, 56, Directed, 1.0
56, 29, Directed, 1.0
29, 3301, Directed, 1.0
3301, 617, Directed, 1.0
617, 111, Directed, 1.0
111, 624, Directed, 1.0
624, 2993, Directed, 1.0
2993, 5288, Directed, 1.0
5288, 109, Directed, 1.0
109, 419, Directed, 1.0
419, 97, Directed, 1.0
97, 42, Directed, 1.0
42, 105, Directed, 1.0
105, 165, Directed, 1.0
165, 880, Directed, 1.0
880, 121, Directed, 1.0
121, 833, Directed, 1.0
833, 2996, Directed, 1.0
2996, 19, Directed, 1.0
19, 1648, Directed, 1.0
1648, 114, Directed, 1.0
114, 2995, Directed, 1.0
2995, 2611, Directed, 1.0
2611, 5288, Directed, 1.0
5288, 345, Directed, 1.0
345, 557, Directed, 1.0
557, 276, Directed, 1.0
276, 1385, Directed, 1.0
1385, 176, Directed, 1.0
176, 23, Directed, 1.0
23, 97, Directed, 1.0
97, 992, Directed, 1.0
992, 105, Directed, 1.0
105, 93, Directed, 1.0
93, 785, Directed, 1.0
785, 624, Directed, 1.0
624, 88, Directed, 1.0
88, 51, Directed, 1.0
51, 475, Directed, 1.0
475, 25, Directed, 1.0
25, 367, Directed, 1.0
367, 276, Directed, 1.0
276, 2704, Directed, 1.0
2704, 432, Directed, 1.0
432, 298, Directed, 1.0
298, 1124, Directed, 1.0
1124, 25, Directed, 1.0
25, 367, Directed, 1.0
367, 6466, Directed, 1.0
6466, 432, Directed, 1.0
432, 3871, Directed, 1.0
3871, 1124, Directed, 1.0
1124, 5, Directed, 1.0
5, 475, Directed, 1.0
475, 25, Directed, 1.0
25, 110, Directed, 1.0
110, 29, Directed, 1.0
29, 121, Directed, 1.0
121, 107, Directed, 1.0
107, 75, Directed, 1.0
75, 6463, Directed, 1.0
6463, 6468, Directed, 1.0
6468, 2714, Directed, 1.0
2714, 6462, Directed, 1.0
6462, 6465, Directed, 1.0
6465, 6464, Directed, 1.0
6464, 97, Directed, 1.0
97, 52, Directed, 1.0
52, 6, Directed, 1.0
6, 120, Directed, 1.0
120, 99, Directed, 1.0
99, 102, Directed, 1.0
102, 632, Directed, 1.0
632, 34, Directed, 1.0
34, 114, Directed, 1.0
114, 998, Directed, 1.0
998, 475, Directed, 1.0
475, 25, Directed, 1.0
25, 805, Directed, 1.0
805, 147, Directed, 1.0
147, 6460, Directed, 1.0
6460, 121, Directed, 1.0
121, 107, Directed, 1.0
107, 97, Directed, 1.0
97, 84, Directed, 1.0
84, 29, Directed, 1.0
29, 6467, Directed, 1.0
6467, 114, Directed, 1.0
114, 37, Directed, 1.0
37, 419, Directed, 1.0
419, 88, Directed, 1.0
88, 51, Directed, 1.0
51, 118, Directed, 1.0
118, 97, Directed, 1.0
97, 367, Directed, 1.0
367, 547, Directed, 1.0
547, 6461, Directed, 1.0
6461, 1715, Directed, 1.0
1715, 114, Directed, 1.0
114, 51, Directed, 1.0
51, 184, Directed, 1.0
184, 118, Directed, 1.0
118, 97, Directed, 1.0
97, 2974, Directed, 1.0
2974, 309, Directed, 1.0
309, 754, Directed, 1.0
754, 1572, Directed, 1.0
1572, 2993, Directed, 1.0
2993, 5288, Directed, 1.0
5288, 121, Directed, 1.0
121, 3301, Directed, 1.0
3301, 617, Directed, 1.0
617, 97, Directed, 1.0
97, 42, Directed, 1.0
42, 105, Directed, 1.0
105, 25, Directed, 1.0
25, 2813, Directed, 1.0
2813, 217, Directed, 1.0
217, 23, Directed, 1.0
23, 109, Directed, 1.0
109, 419, Directed, 1.0
419, 754, Directed, 1.0
754, 683, Directed, 1.0
683, 1572, Directed, 1.0
1572, 2993, Directed, 1.0
2993, 5288, Directed, 1.0
5288, 121, Directed, 1.0
121, 839, Directed, 1.0
839, 118, Directed, 1.0
118, 97, Directed, 1.0
97, 46, Directed, 1.0
46, 109, Directed, 1.0
109, 114, Directed, 1.0
114, 2990, Directed, 1.0
2990, 66, Directed, 1.0
66, 840, Directed, 1.0
840, 105, Directed, 1.0
105, 2813, Directed, 1.0
2813, 541, Directed, 1.0
541, 316, Directed, 1.0
316, 910, Directed, 1.0
910, 18, Directed, 1.0
18, 4178, Directed, 1.0
4178, 97, Directed, 1.0
97, 42, Directed, 1.0
42, 105, Directed, 1.0
105, 209, Directed, 1.0
209, 491, Directed, 1.0
491, 1261, Directed, 1.0
1261, 1981, Directed, 1.0
1981, 2532, Directed, 1.0
2532, 114, Directed, 1.0
114, 1970, Directed, 1.0
1970, 24, Directed, 1.0
24, 1238, Directed, 1.0
1238, 97, Directed, 1.0
97, 613, Directed, 1.0
613, 225, Directed, 1.0
225, 353, Directed, 1.0
353, 25, Directed, 1.0
25, 64, Directed, 1.0
64, 1708, Directed, 1.0
1708, 217, Directed, 1.0
217, 1058, Directed, 1.0
1058, 165, Directed, 1.0
165, 3141, Directed, 1.0
3141, 932, Directed, 1.0
932, 6448, Directed, 1.0
6448, 121, Directed, 1.0
121, 2226, Directed, 1.0
2226, 2317, Directed, 1.0
2317, 73, Directed, 1.0
73, 900, Directed, 1.0
900, 23, Directed, 1.0
23, 104, Directed, 1.0
104, 19, Directed, 1.0
19, 2908, Directed, 1.0
2908, 6459, Directed, 1.0
6459, 3486, Directed, 1.0
3486, 114, Directed, 1.0
114, 5845, Directed, 1.0
5845, 209, Directed, 1.0
209, 1261, Directed, 1.0
1261, 5, Directed, 1.0
5, 37, Directed, 1.0
37, 24, Directed, 1.0
24, 87, Directed, 1.0
87, 1492, Directed, 1.0
1492, 491, Directed, 1.0
491, 1733, Directed, 1.0
1733, 128, Directed, 1.0
128, 18, Directed, 1.0
18, 72, Directed, 1.0
72, 2782, Directed, 1.0
2782, 19, Directed, 1.0
19, 6458, Directed, 1.0
6458, 37, Directed, 1.0
37, 97, Directed, 1.0
97, 3141, Directed, 1.0
3141, 88, Directed, 1.0
88, 259, Directed, 1.0
259, 15, Directed, 1.0
15, 87, Directed, 1.0
87, 1238, Directed, 1.0
1238, 491, Directed, 1.0
491, 541, Directed, 1.0
541, 4178, Directed, 1.0
4178, 215, Directed, 1.0
215, 638, Directed, 1.0
638, 1749, Directed, 1.0
1749, 97, Directed, 1.0
97, 6458, Directed, 1.0
6458, 628, Directed, 1.0
628, 675, Directed, 1.0
675, 1291, Directed, 1.0
1291, 19, Directed, 1.0
19, 631, Directed, 1.0
631, 387, Directed, 1.0
387, 105, Directed, 1.0
105, 2813, Directed, 1.0
2813, 833, Directed, 1.0
833, 2996, Directed, 1.0
2996, 19, Directed, 1.0
19, 1648, Directed, 1.0
1648, 114, Directed, 1.0
114, 2995, Directed, 1.0
2995, 2611, Directed, 1.0
2611, 5288, Directed, 1.0
5288, 345, Directed, 1.0
345, 557, Directed, 1.0
557, 276, Directed, 1.0
