dili, marsu
marsu, governu
governu, liuhosi
liuhosi, sekretáriu
sekretáriu, estadu
estadu, ba
ba, komunikasaun
komunikasaun, sosiál
sosiál, sekoms
sekoms, merício
merício, juvinal
juvinal, dos
dos, reis
reis, akara
akara, husu
husu, ba
ba, komunidade
komunidade, sira
sira, atu
atu, labele
labele, tuda
tuda, hasoru
hasoru, ambulánsia
ambulánsia, parte
parte, saúde
saúde, nian
nian, ne’ebé
ne’ebé, movimenta
movimenta, hodi
hodi, ba
ba, foti
foti, amostra
amostra, ka
ka, tula
tula, pasiente
pasiente, covid
covid, ruma
ruma, sekretáriu
sekretáriu, estadu
estadu, merício
merício, akara
akara, hato’o
hato’o, deklarasaun
deklarasaun, ida
ida, ne’e
ne’e, liuhosi
liuhosi, komunikadu
komunikadu, imprensa
imprensa, ne’ebé
ne’ebé, timor
timor, news
news, asesu
asesu, ohin
ohin, relasiona
relasiona, ho
ho, kazu
kazu, ema
ema, deskoñesidu
deskoñesidu, balu
balu, tuda
tuda, ambulánsia
ambulánsia, wainhira
wainhira, ekipa
ekipa, saúde
saúde, atu
atu, ba
ba, foti
foti, amostra
amostra, teste
teste, swab
swab, covid
covid, ne’ebé
ne’ebé, akontese
akontese, iha
iha, marsu
marsu, parte
parte, kalan
kalan, iha
iha, área
área, kaikoli
kaikoli, postu-administrativu
postu-administrativu, vera-krúz
vera-krúz, munisípiu
munisípiu, dili
dili, ekipa
ekipa, saúde
saúde, sira
sira, mai
mai, ho
ho, misaun
misaun, atu
atu, halo
halo, servisu
servisu, no
no, sei
sei, salva
salva, ita-nia
ita-nia, moris
moris, hosi
hosi, moras
moras, sira
sira, dehan
dehan, akara
akara, iha
iha, komunikadu
komunikadu, imprensan
imprensan, ne’e
ne’e, tanba
tanba, ne’e
ne’e, nia
nia, husu
husu, atu
atu, komunidade
komunidade, sira
sira, koopera
koopera, nafatin
nafatin, ho
ho, ekipa
ekipa, saúde
saúde, hodi
hodi, bele
bele, tulun
tulun, sira
sira, atu
atu, jere
jere, no
no, kombate
kombate, covid
covid, iha
iha, nasaun
nasaun, timor-leste
timor-leste, europa
europa, marsu
marsu, to’o
to’o, iha
iha, loron
loron, sexta
sexta, ne’e
ne’e, nasaun
nasaun, ualu
ualu, ona
ona, iha
iha, eupora
eupora, mak
mak, hapara
hapara, provizoriamente
provizoriamente, ka
ka, suspende
suspende, vasinasaun
vasinasaun, kontra
kontra, covid
covid, ho
ho, vasina
vasina, ne’ebé
ne’ebé, prodúz
prodúz, hosi
hosi, empreza
empreza, farmaséutika
farmaséutika, astrazeneca
astrazeneca, tanba
tanba, mosu
mosu, efeitu
efeitu, kolaterál
kolaterál, ne’ebé
ne’ebé, bolu
bolu, konjelamentu
konjelamentu, raan
raan, hafoin
hafoin, pasiente
pasiente, simu
simu, tiha
tiha, vasinasaun
vasinasaun, ho
ho, vasina
vasina, astrazeneca
astrazeneca, haktuir
haktuir, cnn
cnn, ohin
ohin, instituisaun
instituisaun, ajénsia
ajénsia, medikamentu
medikamentu, europeia
europeia, sigla
sigla, inglés
inglés, ema
ema, haktuir
haktuir, efeitu
efeitu, kolaterál
kolaterál, ne’e
ne’e, akontese
akontese, ba
ba, ema
ema, hamutuk
hamutuk, na’in
na’in, hosi
hosi, populasaun
populasaun, liu
liu, millaun
millaun, ne’ebé
ne’ebé, simu
simu, ona
ona, vasinasaun
vasinasaun, ho
ho, astrazeneca
astrazeneca, iha
iha, europa
europa, nasaun
nasaun, dinamarka
dinamarka, nu’udar
nu’udar, nasaun
nasaun, dahuluk
dahuluk, ne’ebé
ne’ebé, deklara
deklara, suspensaun
suspensaun, ba
ba, utilizasaun
utilizasaun, vasina
vasina, astrazeneca
astrazeneca, durante
durante, loron
loron, tanba
tanba, iha
iha, feto
feto, ida
ida, ho
ho, idade
idade, mate
mate, kauza
kauza, hosi
hosi, konjelamentu
konjelamentu, raan
raan, hafoin
hafoin, nia
nia, simu
simu, tiha
tiha, vasinasaun
vasinasaun, ho
ho, vasina
vasina, astrazeneca
astrazeneca, ministru
ministru, saúde
saúde, dinamarka
dinamarka, magnus
magnus, heunicke
heunicke, haktuir
