id,Label,tf,df,tdf,stopword
0,úvas,3,2,6,0
1,útil,13,13,169,0
2,úteis,6,6,36,0
3,únicos,5,5,25,0
4,único,75,72,5400,0
5,únicas,2,2,4,0
6,única,30,30,900,0
7,últimos,58,54,3132,0
8,último,26,26,676,0
9,últimas,10,10,100,0
10,última,19,18,342,0
11,úlceras,2,2,4,0
12,úlcera,1,1,1,0
13,ônjuge,1,1,1,0
14,ônibus,7,7,49,0
15,ótimo,8,8,64,0
16,ótimas,4,4,16,0
17,ótima,5,5,25,0
18,órgão,1,1,1,0
19,órfãos,7,7,49,0
20,órfão,1,1,1,0
21,ónus,1,1,1,0
22,ónagro,1,1,1,0
23,ómega,1,1,1,0
24,óleos,1,1,1,0
25,óleo,18,17,306,0
26,ódio,10,10,100,0
27,ó,73,67,4891,0
28,írem,1,1,1,0
29,íntimos,4,4,16,0
30,íntimo,12,12,144,0
31,íntima,8,8,64,0
32,íntegros,3,3,9,0
33,íntegro,2,2,4,0
34,índico,1,1,1,0
35,ímpios,3,3,9,0
36,ímpio,2,2,4,0
37,ímpias,5,5,25,0
38,ídolos,20,19,380,0
39,ídolo,5,4,20,0
40,íamos,4,4,16,0
41,êxodo,6,6,36,0
42,êxito,2,2,4,0
43,êubulo,1,1,1,0
44,ências,1,1,1,0
45,ê,1,1,1,0
46,ésábado,1,1,1,0
47,és,87,80,6960,0
48,éreis,1,1,1,0
49,éramos,19,17,323,1
50,épocas,11,10,110,0
51,época,103,101,10403,0
52,éfeso,18,18,324,0
53,éden,13,13,169,0
54,é,4059,3356,13622004,1
55,ânimo,1,1,1,0
56,ângulo,1,1,1,0
57,âncora,10,10,100,0
58,ázimos,1,1,1,0
59,ávidos,1,1,1,0
60,ávido,1,1,1,0
61,ávida,1,1,1,0
62,áudio,3,2,6,0
63,ásia,11,11,121,0
64,ás,2,2,4,0
65,árvores,37,35,1295,0
66,árvore,37,31,1147,0
67,ártemas,1,1,1,0
68,áridos,2,2,4,0
69,áres,1,1,1,0
70,áreas,14,12,168,0
71,área,14,13,182,0
72,árduo,10,10,100,0
73,árdua,3,3,9,0
74,árabes,1,1,1,0
75,áquila,3,3,9,0
76,ámen,2,1,2,0
77,álcool,2,2,4,0
78,águias,2,2,4,0
79,águia,5,5,25,0
80,águas,49,41,2009,0
81,águardar,1,1,1,0
82,águardam,1,1,1,0
83,água,132,116,15312,0
84,áfrica,24,24,576,0
85,áfia,1,1,1,0
86,á,1,1,1,0
87,às,393,382,150126,1
88,àquilo,2,2,4,0
89,àqueles,17,17,289,0
90,àquele,44,42,1848,0
91,àquela,2,2,4,0
92,àgua,1,1,1,0
93,à,1101,988,1087788,1
94,º,4,4,16,0
95,zélia,1,1,1,0
96,zâmbia,1,1,1,0
97,zorobabel,1,1,1,0
98,zoneamento,1,1,1,0
99,zonas,3,3,9,0
100,zona,11,10,110,0
101,zombou,2,2,4,0
102,zombavam,4,4,16,0
103,zombarias,3,3,9,0
104,zombaria,3,3,9,0
105,zombaram,1,1,1,0
106,zombar,1,1,1,0
107,zombadores,1,1,1,0
108,zofar,2,2,4,0
109,zinco,3,3,9,0
110,zimbábue,1,1,1,0
111,zhanna,1,1,1,0
112,zero,1,1,1,0
113,zenóbia,1,1,1,0
114,zendo,1,1,1,0
115,zenas,1,1,1,0
116,zelândia,3,3,9,0
117,zelotas,1,1,1,0
118,zelosos,2,2,4,0
119,zeloso,4,4,16,0
120,zelosamente,4,3,12,0
121,zelosa,4,4,16,0
122,zelo,11,11,121,0
123,zebulão,1,1,1,0
124,zebedeu,14,11,154,0
125,zas,1,1,1,0
126,zaqueu,4,4,16,0
127,zangados,2,2,4,0
128,zangado,6,6,36,0
129,zanesville,2,2,4,0
130,zacarias,20,20,400,0
131,zabulão,1,1,1,0
132,yuille,2,2,4,0
133,york,16,16,256,0
134,yapaphaya,1,1,1,0
135,yamuthala,1,1,1,0
136,xosa,3,3,9,0
137,xintoístas,1,1,1,0
138,world,1,1,1,0
139,wons,1,1,1,0
140,wisconsin,1,1,1,0
141,wilmer,2,2,4,0
142,william,5,5,25,0
143,wichita,1,1,1,0
144,wendy,1,1,1,0
145,wallkill,1,1,1,0
146,walker,2,2,4,0
147,vôs,1,1,1,0
148,vós,118,102,12036,0
149,vómito,1,1,1,0
150,vítreo,1,1,1,0
151,vítimas,8,8,64,0
152,vítima,9,9,81,0
153,vírus,1,1,1,0
154,vínculo,9,9,81,0
155,vídeos,3,3,9,0
156,vídeo,6,5,30,0
157,vícios,4,4,16,0
158,vício,2,1,2,0
159,víboras,4,4,16,0
160,víamos,1,1,1,0
161,ví,2,2,4,0
162,vês,5,5,25,0
163,vêm,20,19,380,0
164,vêem,3,3,9,0
165,vê,64,59,3776,0
166,véu,1,1,1,0
167,vãs,4,4,16,0
168,vão,242,224,54208,0
169,vários,75,75,5625,0
170,várias,71,70,4970,0
171,válido,1,1,1,0
172,válida,2,2,4,0
173,vá,18,18,324,0
174,vulnerável,1,1,1,0
175,vulcânicas,1,1,1,0
176,vozes,7,7,49,0
