id,Label,tf,df,tdf
0,obras,37,1,37
1,konsultór,1,1,1
2,segunda,50,1,50
3,instalasaun,9,1,9
4,aileu,36,1,36
5,mós,724,1,724
6,nasionál,364,1,364
7,inglés,24,1,24
8,matan,94,1,94
9,konsórsiu,1,1,1
10,aban,17,1,17
11,téknika,12,1,12
12,lansa,42,1,42
13,lansamentu,48,1,48
14,ospitál,26,1,26
15,katak,849,1,849
16,metinaru,6,1,6
17,bolu,28,1,28
18,ka,357,1,357
19,ba,3166,1,3166
20,mak,786,1,786
21,aléin,38,1,38
22,lahane,4,1,4
23,ohin,681,1,681
24,atu,1214,1,1214
25,hosi,1154,1,1154
26,eugénio,2,1,2
27,ona,758,1,758
28,ita,372,1,372
29,saúde,301,1,301
30,oan,88,1,88
31,dehan,397,1,397
32,okaziaun,12,1,12
33,tinan,331,1,331
34,hngv,34,1,34
35,sé,75,1,75
36,agora,108,1,108
37,sira,1950,1,1950
38,dos,71,1,71
39,excellence,2,1,2
40,konstrusaun,78,1,78
41,simu,238,1,238
42,munisípiu,393,1,393
43,oin,63,1,63
44,reis,40,1,40
45,lokál,58,1,58
46,timor-leste,627,1,627
47,indonézia,109,1,109
48,públika,75,1,75
49,mestri,1,1,1
50,mop,37,1,37
51,ida,917,1,917
52,óspital,3,1,3
53,sidade,22,1,22
54,exelénsia,10,1,10
55,plaka,1,1,1
56,ministériu,202,1,202
57,taur,95,1,95
58,ne'e,99,1,99
59,pires,28,1,28
60,nasaun,118,1,118
61,dezembru,66,1,66
62,ruak,70,1,70
63,entre,72,1,72
64,oras,176,1,176
65,buat,61,1,61
66,foun,176,1,176
67,hcm,1,1,1
68,estudu,43,1,43
69,tau,50,1,50
70,liubá,77,1,77
71,ministru,258,1,258
72,servisu,230,1,230
73,primeiru-ministru,113,1,113
74,soares,37,1,37
75,formasaun,87,1,87
76,miniatura,1,1,1
77,la’o,51,1,51
78,tanba,645,1,645
79,projetu,126,1,126
80,deklara,34,1,34
81,valadores,1,1,1
82,sei,621,1,621
83,ita-nia,166,1,166
84,sentru,120,1,120
85,consultante,1,1,1
86,finaliza,17,1,17
