id,Label,tf,df,tdf
0,ita-nia,166,1,166
1,inglés,24,1,24
2,espera,15,1,15
3,primeiru-ministru,113,1,113
4,hamutuk,425,1,425
5,kompañia,60,1,60
6,hotu,188,1,188
7,hcm,1,1,1
8,mafra,1,1,1
9,nia,1195,1,1195
10,projetu,126,1,126
11,téknika,12,1,12
12,la’o,51,1,51
13,simu,238,1,238
14,sidade,22,1,22
15,finaliza,17,1,17
16,boot,114,1,114
17,di’ak,199,1,199
18,bolu,28,1,28
19,tanba,645,1,645
20,lansamentu,48,1,48
21,oan,88,1,88
22,dos,71,1,71
23,nasionál,364,1,364
24,saúde,301,1,301
25,hngv,34,1,34
26,nasaun,118,1,118
27,tau,50,1,50
28,servisu,230,1,230
29,ruak,70,1,70
30,pires,28,1,28
31,enkuantu,156,1,156
32,ministériu,202,1,202
33,konstrusaun,78,1,78
34,sé,75,1,75
35,internasionál,40,1,40
36,oin,63,1,63
37,sentru,120,1,120
38,reis,40,1,40
39,ona,758,1,758
40,futuru,31,1,31
41,ne'e,99,1,99
42,oras,176,1,176
43,konsórsiu,1,1,1
44,ministru,258,1,258
45,mós,724,1,724
46,posível,3,1,3
47,no,2461,1,2461
48,atu,1214,1,1214
49,hosi,1154,1,1154
50,instalasaun,9,1,9
51,valadores,1,1,1
52,munisípiu,393,1,393
53,rekonstrusaun,7,1,7
54,valadares,6,1,6
55,aban,17,1,17
56,mestri,1,1,1
57,taur,95,1,95
58,ninia,112,1,112
59,soares,37,1,37
60,iha,4104,1,4104
61,sira,1950,1,1950
62,ba,3166,1,3166
63,guido,7,1,7
64,okaziaun,12,1,12
65,deklara,34,1,34
66,sigla,88,1,88
67,bainrua,2,1,2
68,lansa,42,1,42
69,indonézia,109,1,109
70,ke,16,1,16
71,planu,69,1,69
72,eugénio,2,1,2
73,maket,1,1,1
74,mak,786,1,786
75,salvador,21,1,21
76,óspital,3,1,3
77,ne’ebé,1744,1,1744
78,universitáriu,11,1,11
79,agora,108,1,108
80,buat,61,1,61
81,ospitál,26,1,26
82,tinan,331,1,331
83,daudaun,5,1,5
84,hela,267,1,267
85,halo,676,1,676
86,exelénsia,10,1,10
87,konsultór,1,1,1
88,plaka,1,1,1
89,aileu,36,1,36
90,lokál,58,1,58
91,ne’e,2294,1,2294
92,públika,75,1,75
93,tán,248,1,248
94,matan,94,1,94
95,miniatura,1,1,1
96,mop,37,1,37
97,katak,849,1,849
98,obras,37,1,37
99,ka,357,1,357
100,ohin,681,1,681
101,entre,72,1,72
102,ita,372,1,372
103,dili,1010,1,1010
104,profisionál,43,1,43
105,timor-leste,627,1,627
106,ho,1491,1,1491
107,estudu,43,1,43
108,dezembru,66,1,66
109,formasaun,87,1,87
110,aléin,38,1,38
111,foun,176,1,176
112,liubá,77,1,77
113,bele,470,1,470
114,ida,917,1,917
115,metinaru,6,1,6
116,dehan,397,1,397
117,sei,621,1,621
118,consultante,1,1,1
119,lahane,4,1,4
120,excellence,2,1,2
121,segunda,50,1,50
122,litru,6,1,6
123,entaun,72,1,72
124,tuir,303,1,303
125,auto-,1,1,1
