tf,df,tdf,indegree,outdegree,Degree,weighted-indegree,weighted-outdegree,Weighted-Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,stopword
12902,8618,111189436,3707,2819,6526,12902,12902,25804,7,0.51497,0.565268,0.17947,yes
15812,9794,154862728,3496,1725,5221,15812,15812,31624,7,0.477995,0.519087,0.131525,yes
14208,9002,127900416,2749,1864,4613,14208,14208,28416,6,0.487668,0.528597,0.115147,yes
16937,10498,177804626,2181,2199,4380,16937,16937,33874,7,0.496017,0.54102,0.108896,yes
12481,8437,105302197,2775,1354,4129,12481,12481,24962,7,0.431789,0.475839,0.087007,yes
3802,3147,11964894,805,1255,2060,3802,3802,7604,7,0.452,0.490367,0.047531,yes
5087,4041,20556567,1110,1261,2371,5087,5087,10174,7,0.465059,0.500681,0.045824,yes
5848,4661,27257528,1935,750,2685,5848,5848,11696,7,0.44931,0.478144,0.045519,yes
5872,4380,25719360,1468,823,2291,5872,5872,11744,7,0.404797,0.439837,0.043405,yes
3950,3266,12900700,1542,718,2260,3950,3950,7900,7,0.447836,0.47637,0.040316,yes
4237,3527,14943899,1428,451,1879,4237,4237,8474,6,0.421038,0.447616,0.031967,yes
4151,3499,14524349,1539,442,1981,4151,4151,8302,7,0.435469,0.460805,0.02739,yes
3321,2801,9302121,879,698,1577,3321,3321,6642,7,0.436048,0.466286,0.027346,yes
3545,3134,11110030,1231,680,1911,3545,3545,7090,7,0.464729,0.488825,0.026717,yes
2880,2455,7070400,936,400,1336,2880,2880,5760,8,0.367444,0.392824,0.023406,yes
4078,3326,13563428,1253,477,1730,4078,4078,8156,7,0.378429,0.405949,0.021398,yes
3231,2753,8894943,1127,504,1631,3231,3231,6462,7,0.386443,0.415349,0.021385,yes
2553,2384,6086352,1175,464,1639,2553,2553,5106,7,0.456633,0.478402,0.020497,yes
2685,2390,6417150,1214,341,1555,2685,2685,5370,8,0.367294,0.391464,0.020202,yes
2218,1836,4072248,500,645,1145,2218,2218,4436,7,0.40695,0.43855,0.019141,yes
3420,2859,9777780,737,747,1484,3420,3420,6840,7,0.461449,0.487702,0.018822,yes
4059,3356,13622004,851,658,1509,4059,4059,8118,7,0.442253,0.470708,0.017896,yes
2212,1949,4311188,1035,398,1433,2212,2212,4424,7,0.373411,0.398685,0.017405,yes
2248,1973,4435304,678,495,1173,2248,2248,4496,7,0.395627,0.424409,0.016772,yes
1775,1645,2919875,766,460,1226,1775,1775,3550,8,0.436349,0.462154,0.014314,yes
4301,3715,15978215,385,711,1096,4301,4301,8602,7,0.466024,0.490433,0.014111,No
979,864,845856,624,391,1015,979,979,1958,7,0.450758,0.472281,0.013955,yes
1361,1226,1668586,452,417,869,1361,1361,2722,7,0.446196,0.469154,0.013052,yes
2456,2099,5155144,588,530,1118,2456,2456,4912,7,0.458942,0.481538,0.012665,No
1300,1187,1543100,178,484,662,1300,1300,2600,7,0.420323,0.44766,0.012406,No
1484,1361,2019724,719,400,1119,1484,1484,2968,7,0.40631,0.432978,0.012189,yes
1488,1332,1982016,570,303,873,1488,1488,2976,7,0.383283,0.408137,0.010305,yes
1300,1160,1508000,375,436,811,1300,1300,2600,7,0.449204,0.471933,0.010186,yes
1273,1209,1539057,501,429,930,1273,1273,2546,6,0.454698,0.476186,0.009474,yes
1121,1025,1149025,374,361,735,1121,1121,2242,7,0.420354,0.445784,0.009075,yes
857,759,650463,281,338,619,857,857,1714,7,0.412978,0.438001,0.008662,yes
1186,971,1151606,376,327,703,1186,1186,2372,7,0.42802,0.45198,0.008562,yes
1101,988,1087788,536,263,799,1101,1101,2202,7,0.372132,0.394657,0.00834,yes
645,509,328305,153,348,501,645,645,1290,7,0.34858,0.369385,0.008256,yes
2905,2552,7413560,347,534,881,2905,2905,5810,7,0.45738,0.480375,0.007627,No
956,914,873784,535,252,787,956,956,1912,7,0.436115,0.457567,0.00742,No
852,840,715680,495,265,760,852,852,1704,7,0.444673,0.464893,0.006992,No
556,419,232964,361,232,593,556,556,1112,7,0.420768,0.443476,0.006911,yes
786,745,585570,318,263,581,786,786,1572,7,0.428202,0.450695,0.006629,yes
885,847,749595,533,211,744,885,885,1770,7,0.435903,0.456524,0.006313,No
1034,973,1006082,506,234,740,1034,1034,2068,7,0.445742,0.465177,0.00626,No
1313,1164,1528332,352,242,594,1313,1313,2626,7,0.441829,0.462059,0.006191,No
991,926,917666,108,309,417,991,991,1982,7,0.448731,0.469058,0.006079,No
462,436,201432,191,222,413,462,462,924,7,0.407163,0.430241,0.005874,yes
1020,942,960840,442,124,566,1020,1020,2040,7,0.403686,0.425305,0.005856,No
1338,1282,1715316,300,329,629,1338,1338,2676,7,0.448118,0.468965,0.005538,yes
1669,1482,2473458,197,328,525,1669,1669,3338,8,0.357572,0.379797,0.005479,yes
739,683,504737,351,165,516,739,739,1478,8,0.343583,0.36063,0.005335,yes
1593,1425,2270025,230,277,507,1593,1593,3186,8,0.368158,0.39107,0.005242,yes
1071,973,1042083,238,289,527,1071,1071,2142,7,0.438987,0.460668,0.005205,yes
739,650,480350,287,272,559,739,739,1478,7,0.402486,0.427077,0.005071,yes
998,875,873250,98,259,357,998,998,1996,7,0.441806,0.462416,0.005058,No
513,502,257526,240,189,429,513,513,1026,7,0.431789,0.452436,0.004979,No
578,558,322524,333,138,471,578,578,1156,7,0.421319,0.44223,0.004925,yes
711,642,456462,154,240,394,711,711,1422,7,0.419609,0.442375,0.004847,yes
960,900,864000,149,331,480,960,960,1920,7,0.447284,0.468335,0.004735,No
394,343,135142,71,249,320,394,394,788,8,0.359312,0.381226,0.00471,yes
1124,856,962144,282,273,555,1124,1124,2248,7,0.434372,0.456559,0.004685,yes
