Id,Label,timeset,tf,ntf,df,idf,nidf,tdf,tf-idf,stopword,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
0,zygote,,35,11.54118412,16,8.047209562,8.047059554,560,92.87432717,0,8,16,24,35,25,60,4,0.455984,0.468232,0
1,zurich,,23,11.96103796,18,7.929426526,7.929256515,414,94.84417169,0,5,12,17,20,19,39,4,0.444408,0.458688,0
2,zulu,,12,12.61162553,8,8.740356743,8.740286741,96,110.2301062,0,5,6,11,9,7,16,5,0.385246,0.401585,0.000006
3,zucchini,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,2,1,3,2,2,4,5,0.322863,0.327324,0
4,zoroastrian,,8,13.01709064,8,8.740356743,8.740286741,64,113.7740159,0,3,6,9,6,7,13,5,0.388467,0.405134,0
5,zoroaster,,5,13.48709426,3,9.721185996,9.721165996,15,131.1105519,0,3,5,8,3,5,8,4,0.411198,0.428675,0
6,zorn,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.294618,0.300697,0.000001
7,zooplankton,,4,13.71023782,4,9.433503923,9.433473923,16,129.3355822,0,2,3,5,2,4,6,5,0.385464,0.401782,0.000003
8,zoom,,10,12.79394708,5,9.210360372,9.210320372,50,117.8368632,0,5,4,9,5,5,10,5,0.362621,0.375745,0
9,zoology,,30,11.6953348,27,7.523961418,7.52370139,810,87.99524778,0,12,21,33,27,25,52,4,0.458185,0.470044,0.000005
10,zoo,,99,10.50141233,64,6.660915201,6.660285015,6336,69.949017,0,43,39,82,86,84,170,4,0.460598,0.472307,0.000015
11,zone,,316,9.340789964,203,5.506592305,5.504570303,64148,51.43592214,0,73,95,168,211,254,465,4,0.468265,0.479255,0.000196
12,zombie,,23,11.96103796,12,8.334891634,8.334781631,276,99.69395524,0,10,14,24,19,19,38,4,0.434946,0.450613,0
13,zomba,,5,13.48709426,4,9.433503923,9.433473923,20,127.2305567,0,4,3,7,4,3,7,5,0.361358,0.374119,0
14,zoe,,25,11.87765635,14,8.180740955,8.180610949,350,97.16802977,0,13,11,24,19,17,36,4,0.413314,0.430844,0.000001
15,zodiacal,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,2,1,3,2,1,3,5,0.324409,0.327806,0
16,zodiac,,34,11.57017165,19,7.875359305,7.875179292,646,91.11925899,0,8,17,25,27,30,57,4,0.4466,0.460589,0.000004
17,zither,,3,13.99791989,2,10.1266511,10.1266411,6,141.7520509,0,2,3,5,3,3,6,5,0.385531,0.401871,0
18,zirconium,,7,13.15062203,5,9.210360372,9.210320372,35,121.121968,0,6,6,12,6,6,12,5,0.352713,0.363514,0.00001
19,zircon,,4,13.71023782,2,10.1266511,10.1266411,8,138.8387949,0,1,3,4,1,4,5,5,0.348935,0.358708,0
20,zip,,47,11.24638458,20,7.824066011,7.823875996,940,87.9924553,0,23,13,36,33,34,67,5,0.376567,0.392191,0.000001
21,zion,,12,12.61162553,8,8.740356743,8.740286741,96,110.2301062,0,7,8,15,9,12,21,5,0.37432,0.389299,0
22,zinc,,41,11.38296011,26,7.561701746,7.56145172,1066,86.07454935,0,19,23,42,38,31,69,4,0.436475,0.452139,0.000008
23,zimmerman,,5,13.48709426,5,9.210360372,9.210320372,25,124.2209985,0,3,4,7,3,4,7,5,0.345801,0.354294,0
24,zilch,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.32071,0.32465,0
25,zigzag,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.320271,0.323474,0.000053
26,ziegler,,3,13.99791989,3,9.721185996,9.721165996,9,136.0763828,0,2,1,3,2,1,3,5,0.360829,0.373487,0
27,zeus,,192,9.839036805,113,6.092410465,6.09128986,21696,59.9434508,0,38,54,92,163,158,321,4,0.455469,0.468556,0.000004
28,zeta,,45,11.28986969,17,7.98658494,7.986424931,765,90.16750322,0,17,18,35,34,29,63,4,0.451955,0.465021,0.000004
29,zest,,5,13.48709426,3,9.721185996,9.721165996,15,131.1105519,0,3,5,8,3,5,8,4,0.390922,0.407775,0
30,zeroth,,4,13.71023782,3,9.721185996,9.721165996,12,133.2797719,0,1,1,2,3,4,7,5,0.323941,0.327144,0
31,zeroes,,5,13.48709426,5,9.210360372,9.210320372,25,124.2209985,0,5,3,8,5,4,9,5,0.382499,0.398716,0
32,zero,,239,9.620068625,135,5.914523506,5.913182634,32265,56.89812201,0,66,92,158,192,198,390,4,0.473057,0.482794,0.000018
33,zenith,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,0,2,2,0,2,2,5,0.325725,0.330297,0
34,zen,,36,11.51301324,22,7.728755831,7.728545813,792,88.9812682,0,20,14,34,28,28,56,4,0.440275,0.455233,0.000001
35,zeiss,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,1,0,1,2,0,2,0,0,0,0
36,zebra,,33,11.60002462,11,8.421903011,8.421803008,363,97.69428224,0,14,13,27,20,16,36,4,0.439055,0.454148,0.000002
37,zealand,,432,9.028106589,302,5.109371267,5.106356788,130464,46.1279484,0,9,146,155,429,357,786,4,0.471161,0.4824,0.000014
38,zeal,,3,13.99791989,2,10.1266511,10.1266411,6,141.7520509,0,1,3,4,1,3,4,5,0.350409,0.360331,0
39,zazen,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.326347,0.330278,0
40,zanzibar,,20,12.1007999,12,8.334891634,8.334781631,240,100.8588559,0,12,13,25,18,16,34,4,0.415325,0.432699,0
41,zan,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,0,1,1,0,1,1,5,0.321757,0.326069,0
42,zambia,,34,11.57017165,24,7.641744454,7.641514432,816,88.41629506,0,18,20,38,31,28,59,4,0.440997,0.455937,0.000001
43,zaire,,11,12.6986369,7,8.873888135,8.873828135,77,112.6862834,0,7,6,13,8,7,15,4,0.425082,0.441609,0
44,zagreb,,32,11.63079627,12,8.334891634,8.334781631,384,96.94142657,0,11,14,25,24,27,51,4,0.432561,0.448491,0
45,zachary,,15,12.38848198,14,8.180740955,8.180610949,210,101.3469619,0,9,4,13,12,13,25,5,0.324717,0.328145,0
46,z,,64,10.73982335,44,6.969650683,6.969190586,2816,74.85281715,0,27,31,58,50,50,100,4,0.450316,0.463927,0.000063
47,ywca,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.324148,0.327721,0
48,yvette,,9,12.8993076,8,8.740356743,8.740286741,72,112.7445502,0,5,2,7,6,2,8,5,0.336793,0.342929,0
