Id,Label,tf,ntf,df,idf,nidf,tdf,tf-idf,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Stopwords
1805,the,342334,2.352987109,46715,0.067977693,-0.561501328,15992132810,0.159950635,7195,8905,16100,289037,238675,527712,4,0.66129,0.748507,0.183184,Yes
17721,and,116892,3.427517912,31912,0.449060891,0.064715751,3730257504,1.539164246,8312,7226,15538,69227,79350,148577,4,0.623959,0.701899,0.160715,Yes
18368,a,130903,3.313617744,44705,0.111733989,-0.48090031,5852018615,0.37024373,4445,6503,10948,112387,105710,218097,4,0.600772,0.678018,0.097787,Yes
6661,of,179600,2.998044743,44345,0.120043042,-0.46592132,7964362000,0.359894412,4192,6633,10825,130460,138534,268994,4,0.609246,0.684323,0.076476,Yes
9562,is,123117,3.375641776,43450,0.140432154,-0.429579781,5349433650,0.474048644,8018,2608,10626,91189,99248,190437,4,0.528084,0.566696,0.071721,Yes
10000,in,149546,3.181166174,43800,0.132409188,-0.443810862,6550114800,0.421215629,6304,4489,10793,87747,130318,218065,4,0.564492,0.622373,0.06899,Yes
1594,to,77647,3.836603984,25594,0.669685056,0.374071773,1987297318,2.569316355,3934,4298,8232,46776,68946,115722,4,0.560446,0.616651,0.047713,Yes
6523,or,25048,4.967982914,12718,1.369024692,1.233013133,318560464,6.801291281,4281,3863,8144,15296,16803,32099,4,0.550811,0.603295,0.046801,Yes
17350,as,31129,4.750637038,17038,1.076596862,0.889825508,530375902,5.114520926,2742,3079,5821,21669,25259,46928,4,0.538382,0.581578,0.022662,Yes
561,was,52734,4.22351649,18987,0.968288471,0.757744951,1001260458,4.089582323,4265,1417,5682,42963,34744,77707,4,0.506044,0.530595,0.018245,Yes
11906,for,33694,4.671397762,18882,0.973780959,0.764520313,636210108,4.548918192,2894,2407,5301,19591,25460,45051,4,0.524324,0.560659,0.016537,Yes
270,with,22533,5.073795997,13996,1.273271431,1.122509933,315371868,6.460319488,2569,2515,5084,12792,17922,30714,4,0.526845,0.564217,0.015772,Yes
15875,by,29509,4.804081597,17215,1.066261908,0.877354846,507997435,5.122409212,2062,2745,4807,13714,21074,34788,4,0.531674,0.571409,0.015276,Yes
11710,from,24197,5.00254824,15254,1.187201241,1.021705002,369101038,5.939031481,2421,2157,4578,14149,20325,34474,4,0.519217,0.552856,0.012447,Yes
9536,it,52858,4.221129989,26222,0.645444252,0.341355312,1386042476,2.724504089,4072,839,4911,39953,44539,84492,4,0.49534,0.512628,0.011566,Yes
6580,on,28434,4.841191286,15977,1.140892817,0.966828906,454290018,5.523280365,2807,1616,4423,15680,25197,40877,4,0.51057,0.537251,0.010937,Yes
17446,are,34451,4.649238874,14682,1.225420752,1.06665118,505809582,5.697273795,2042,1928,3970,18633,21543,40176,4,0.515478,0.546213,0.011352,Yes
1808,that,27578,4.871758545,14948,1.207465494,1.045573414,412235944,5.882480336,2523,1747,4270,17246,21526,38772,4,0.512561,0.540974,0.010295,Yes
17752,an,21267,5.131620323,14608,1.230473681,1.072571047,310668336,6.31432375,1510,1473,2983,18209,13685,31894,4,0.497338,0.5259,0.013456,Yes
1738,this,15099,5.474082155,10201,1.589557251,1.481974312,154024899,8.701366979,2317,1456,3773,11166,12299,23465,4,0.506058,0.531336,0.007747,Yes
17270,at,16913,5.360694341,11346,1.483177746,1.362762552,191894898,7.950862552,2263,1265,3528,10601,14247,24848,4,0.501143,0.524534,0.007921,Yes
404,which,13849,5.560563871,9851,1.624470032,1.520776981,136426499,9.032969371,2556,680,3236,8727,9788,18515,4,0.485438,0.502836,0.006548,Yes
10461,his,15376,5.455969046,6502,2.039933183,1.972715129,99974752,11.1298123,1294,1511,2805,12275,11656,23931,4,0.50198,0.529721,0.006407,Yes
1757,they,19245,5.231525612,9506,1.660119827,1.560246342,182942970,8.684959394,2217,721,2938,13904,16741,30645,4,0.472793,0.494432,0.00519,Yes
15897,but,9413,5.946685186,7377,1.913675953,1.837055647,69439701,11.38002844,2275,647,2922,6067,8029,14096,4,0.491309,0.506281,0.004683,Yes
6438,other,16155,5.406547299,12794,1.363066694,1.226184045,206687070,7.369484554,1858,1063,2921,13044,4195,17239,4,0.497854,0.518529,0.004568,Yes
10719,he,27887,4.860616268,8279,1.798320817,1.711914699,230876473,8.740947418,2694,237,2931,20337,19376,39713,4,0.472089,0.484776,0.004436,Yes
15751,can,12703,5.646938712,7382,1.912998401,1.836324113,93773546,10.80258473,1801,694,2495,9040,12289,21329,4,0.483599,0.501765,0.004998,Yes
